id,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,city,state,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,minimum_nights,number_of_reviews,first_review,last_review,date_listed
9550869,"Seattle, Washington, United States",within a day,88,98,f,Queen Anne,1.0,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,t,Seattle,WA,Bungalow,Entire home/apt,10,3.0,4.0,4.0,Real Bed,349.0,2443.0,10470.0,,200.0,1,0,,,2016-05-15
8515408,US,within an hour,71,80,f,Queen Anne,1.0,1.0,"['email', 'phone', 'reviews', 'kba']",t,t,Seattle,WA,Bungalow,Entire home/apt,2,1.0,0.0,1.0,Real Bed,110.0,700.0,3300.0,,50.0,2,3,2015-10-12,2015-12-31,2016-10-29
5383192,"Seattle, Washington, United States",,93,71,f,Queen Anne,1.0,1.0,"['email', 'phone', 'google', 'linkedin', 'reviews', 'manual_offline', 'jumio']",t,t,Seattle,WA,House,Entire home/apt,4,1.0,1.0,2.0,Real Bed,160.0,1140.0,4800.0,100.0,55.0,2,1,2015-06-29,2015-06-29,2016-10-12
1112092,"Seattle, Washington, United States",within an hour,83,75,f,Queen Anne,1.0,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,Seattle,WA,House,Entire home/apt,4,1.0,1.0,3.0,Real Bed,130.0,1000.0,2700.0,140.0,75.0,3,26,2013-05-05,2015-12-29,2016-03-07
7772661,"Seattle, Washington, United States",within an hour,98,72,f,Queen Anne,1.0,1.0,"['email', 'phone', 'google', 'reviews', 'jumio']",t,t,Seattle,WA,House,Entire home/apt,2,1.0,0.0,1.0,Real Bed,99.0,693.0,2970.0,,50.0,1,2,2015-12-20,2015-12-21,2016-10-22
9254900,"Seattle, Washington, United States",within an hour,76,84,f,,1.0,1.0,"['email', 'phone', 'google', 'kba']",t,t,Seattle,WA,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,100.0,700.0,2000.0,,40.0,1,0,,,2016-03-17
7714294,"Seattle, Washington, United States",,72,80,f,Queen Anne,2.0,2.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,t,Seattle,WA,Apartment,Entire home/apt,3,1.0,1.0,1.0,Futon,137.0,815.0,4110.0,,20.0,2,3,2015-08-18,2015-09-03,2016-08-21
10310373,"Seattle, Washington, United States",,76,73,f,Queen Anne,1.0,1.0,"['email', 'phone', 'facebook']",t,f,Seattle,WA,Apartment,Private room,3,1.0,1.0,1.0,Real Bed,20.0,140.0,600.0,,,1,0,,,2016-03-13
9368342,"Seattle, Washington, United States",within a few hours,71,70,f,Queen Anne,1.0,1.0,"['email', 'phone', 'reviews', 'kba']",t,t,Seattle,WA,Townhouse,Entire home/apt,2,1.5,1.0,1.0,Real Bed,150.0,1050.0,4500.0,500.0,50.0,4,0,,,2016-03-09
6361863,"Seattle, Washington, United States",within an hour,92,77,f,Queen Anne,1.0,1.0,"['email', 'phone', 'linkedin', 'reviews', 'kba']",t,t,Seattle,WA,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,145.0,1015.0,4350.0,100.0,30.0,2,44,2015-05-16,2016-01-01,2016-02-15
8105221,"Seattle, Washington, United States",within a day,83,78,f,Queen Anne,1.0,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,Seattle,WA,Townhouse,Private room,2,1.0,1.0,1.0,Futon,80.0,560.0,2400.0,,,1,10,2015-09-07,2015-11-29,2016-05-19
3269390,"Seattle, Washington, United States",within an hour,94,91,t,Queen Anne,3.0,3.0,"['email', 'phone', 'linkedin', 'reviews', 'jumio']",t,t,Seattle,WA,House,Entire home/apt,2,1.0,0.0,1.0,Real Bed,95.0,665.0,2850.0,200.0,60.0,3,77,2014-06-23,2015-12-28,2016-09-20
4566393,"Seattle, Washington, United States",,96,89,f,Queen Anne,1.0,1.0,"['email', 'phone']",t,f,Seattle,WA,House,Entire home/apt,4,2.5,3.0,3.0,Real Bed,400.0,2100.0,7500.0,750.0,120.0,2,0,,,2016-04-21
9282409,"Seattle, Washington, United States",within a day,88,72,f,Queen Anne,1.0,1.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'kba']",t,t,Seattle,WA,House,Private room,2,2.0,1.0,1.0,Real Bed,85.0,450.0,2550.0,,,2,2,2015-11-20,2015-12-12,2016-02-13
8095168,"Seattle, Washington, United States",,89,87,f,Queen Anne,2.0,2.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,t,Seattle,WA,Apartment,Private room,2,1.0,1.0,1.0,Futon,70.0,490.0,2100.0,,20.0,1,1,2015-09-08,2015-09-08,2016-10-16
2746782,"Seattle, Washington, United States",within an hour,87,77,t,Queen Anne,5.0,5.0,"['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'jumio']",t,t,Seattle,WA,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,90.0,540.0,2700.0,150.0,25.0,2,109,2014-04-21,2015-12-29,2016-12-10
6424982,"Seattle, Washington, United States",within a few hours,75,86,f,Queen Anne,1.0,1.0,"['email', 'phone', 'facebook', 'reviews']",t,f,Seattle,WA,House,Private room,2,1.0,1.0,1.0,Real Bed,80.0,560.0,2400.0,,,1,52,2015-05-29,2016-01-02,2016-11-09
762029,"Seattle, Washington, United States",within an hour,90,87,t,Queen Anne,5.0,5.0,"['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'jumio']",t,t,Seattle,WA,Camper/RV,Private room,2,1.0,1.0,2.0,Real Bed,60.0,360.0,1800.0,150.0,25.0,2,191,2012-11-05,2016-01-01,2016-05-08
8988281,"Seattle, Washington, United States",within an hour,88,92,f,Queen Anne,1.0,1.0,"['email', 'phone']",t,f,Seattle,WA,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,175.0,1225.0,5250.0,250.0,78.0,1,0,,,2016-10-25
7077910,"Seattle, Washington, United States",within an hour,76,94,f,,1.0,1.0,"['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'jumio', 'kba']",t,t,Seattle,WA,House,Entire home/apt,6,2.5,3.0,4.0,Real Bed,170.0,1195.0,3195.0,250.0,100.0,4,9,2015-08-10,2015-11-29,2016-01-25
3772674,"Seattle, Washington, United States",within an hour,96,81,f,Ballard,1.0,1.0,"['email', 'phone', 'google', 'reviews', 'kba']",t,t,Seattle,WA,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,85.0,650.0,2550.0,,50.0,3,65,2014-08-28,2015-12-14,2016-11-11
